symbol,date,price
AAA,1984-01-01,12.2
AAA,1984-02-01,12.08
AAA,1984-03-01,12.57
AAA,1984-04-01,12.81
AAA,1984-05-01,13.28
AAA,1984-06-01,13.55
AAA,1984-07-01,13.44
AAA,1984-08-01,12.87
AAA,1984-09-01,12.66
AAA,1984-10-01,12.63
AAA,1984-11-01,12.29
AAA,1984-12-01,12.13
AAA,1985-01-01,12.08
AAA,1985-02-01,12.13
AAA,1985-03-01,12.56
AAA,1985-04-01,12.23
AAA,1985-05-01,11.72
AAA,1985-06-01,10.94
AAA,1985-07-01,10.97
AAA,1985-08-01,11.05
AAA,1985-09-01,11.07
AAA,1985-10-01,11.02
AAA,1985-11-01,10.55
AAA,1985-12-01,10.16
AAA,1986-01-01,10.05
AAA,1986-02-01,9.67
AAA,1986-03-01,9
AAA,1986-04-01,8.79
AAA,1986-05-01,9.09
AAA,1986-06-01,9.13
AAA,1986-07-01,8.88
AAA,1986-08-01,8.72
AAA,1986-09-01,8.89
AAA,1986-10-01,8.86
AAA,1986-11-01,8.68
AAA,1986-12-01,8.49
AAA,1987-01-01,8.36
AAA,1987-02-01,8.38
AAA,1987-03-01,8.36
AAA,1987-04-01,8.85
AAA,1987-05-01,9.33
AAA,1987-06-01,9.32
AAA,1987-07-01,9.42
AAA,1987-08-01,9.67
AAA,1987-09-01,10.18
AAA,1987-10-01,10.52
AAA,1987-11-01,10.01
AAA,1987-12-01,10.11
AAA,1988-01-01,9.88
AAA,1988-02-01,9.4
AAA,1988-03-01,9.39
AAA,1988-04-01,9.67
AAA,1988-05-01,9.9
AAA,1988-06-01,9.86
AAA,1988-07-01,9.96
AAA,1988-08-01,10.11
AAA,1988-09-01,9.82
AAA,1988-10-01,9.51
AAA,1988-11-01,9.45
AAA,1988-12-01,9.57
AAA,1989-01-01,9.62
AAA,1989-02-01,9.64
AAA,1989-03-01,9.8
AAA,1989-04-01,9.79
AAA,1989-05-01,9.57
AAA,1989-06-01,9.1
AAA,1989-07-01,8.93
AAA,1989-08-01,8.96
AAA,1989-09-01,9.01
AAA,1989-10-01,8.92
AAA,1989-11-01,8.89
AAA,1989-12-01,8.86
AAA,1990-01-01,8.99
AAA,1990-02-01,9.22
AAA,1990-03-01,9.37
AAA,1990-04-01,9.46
