symbol,date,price
BAA,1984-01-01,13.65
BAA,1984-02-01,13.59
BAA,1984-03-01,13.99
BAA,1984-04-01,14.31
BAA,1984-05-01,14.74
BAA,1984-06-01,15.05
BAA,1984-07-01,15.15
BAA,1984-08-01,14.63
BAA,1984-09-01,14.35
BAA,1984-10-01,13.94
BAA,1984-11-01,13.48
BAA,1984-12-01,13.4
BAA,1985-01-01,13.26
BAA,1985-02-01,13.23
BAA,1985-03-01,13.69
BAA,1985-04-01,13.51
BAA,1985-05-01,13.15
BAA,1985-06-01,12.4
BAA,1985-07-01,12.43
BAA,1985-08-01,12.5
BAA,1985-09-01,12.48
BAA,1985-10-01,12.36
BAA,1985-11-01,11.99
BAA,1985-12-01,11.58
BAA,1986-01-01,11.44
BAA,1986-02-01,11.11
BAA,1986-03-01,10.5
BAA,1986-04-01,10.19
BAA,1986-05-01,10.29
BAA,1986-06-01,10.34
BAA,1986-07-01,10.16
BAA,1986-08-01,10.18
BAA,1986-09-01,10.2
BAA,1986-10-01,10.24
BAA,1986-11-01,10.07
BAA,1986-12-01,9.97
BAA,1987-01-01,9.72
BAA,1987-02-01,9.65
BAA,1987-03-01,9.61
BAA,1987-04-01,10.04
BAA,1987-05-01,10.51
BAA,1987-06-01,10.52
BAA,1987-07-01,10.61
BAA,1987-08-01,10.8
BAA,1987-09-01,11.31
BAA,1987-10-01,11.62
BAA,1987-11-01,11.23
BAA,1987-12-01,11.29
BAA,1988-01-01,11.07
BAA,1988-02-01,10.62
BAA,1988-03-01,10.57
BAA,1988-04-01,10.9
BAA,1988-05-01,11.04
BAA,1988-06-01,11
BAA,1988-07-01,11.11
BAA,1988-08-01,11.21
BAA,1988-09-01,10.9
BAA,1988-10-01,10.41
BAA,1988-11-01,10.48
BAA,1988-12-01,10.65
BAA,1989-01-01,10.65
BAA,1989-02-01,10.61
BAA,1989-03-01,10.67
BAA,1989-04-01,10.61
BAA,1989-05-01,10.46
BAA,1989-06-01,10.03
BAA,1989-07-01,9.87
BAA,1989-08-01,9.88
BAA,1989-09-01,9.91
BAA,1989-10-01,9.81
BAA,1989-11-01,9.81
