symbol,date,price
GDPDEF,1984-01-01,48.639
GDPDEF,1984-04-01,49.055
GDPDEF,1984-07-01,49.491
GDPDEF,1984-10-01,49.861
GDPDEF,1985-01-01,50.354
GDPDEF,1985-04-01,50.678
GDPDEF,1985-07-01,50.984
GDPDEF,1985-10-01,51.269
GDPDEF,1986-01-01,51.524
GDPDEF,1986-04-01,51.719
GDPDEF,1986-07-01,51.931
GDPDEF,1986-10-01,52.214
GDPDEF,1987-01-01,52.548
GDPDEF,1987-04-01,52.912
GDPDEF,1987-07-01,53.313
GDPDEF,1987-10-01,53.738
GDPDEF,1988-01-01,54.159
GDPDEF,1988-04-01,54.686
GDPDEF,1988-07-01,55.34
GDPDEF,1988-10-01,55.818
GDPDEF,1989-01-01,56.4
GDPDEF,1989-04-01,57.001
GDPDEF,1989-07-01,57.417
GDPDEF,1989-10-01,57.826
GDPDEF,1990-01-01,58.45
GDPDEF,1990-04-01,59.105
GDPDEF,1990-07-01,59.611
GDPDEF,1990-10-01,60.055
GDPDEF,1991-01-01,60.643
GDPDEF,1991-04-01,61.088
GDPDEF,1991-07-01,61.566
GDPDEF,1991-10-01,61.931
GDPDEF,1992-01-01,62.161
GDPDEF,1992-04-01,62.535
GDPDEF,1992-07-01,62.841
GDPDEF,1992-10-01,63.273
GDPDEF,1993-01-01,63.628
GDPDEF,1993-04-01,64.007
GDPDEF,1993-07-01,64.387
GDPDEF,1993-10-01,64.738
GDPDEF,1994-01-01,65.048
GDPDEF,1994-04-01,65.362
GDPDEF,1994-07-01,65.737
GDPDEF,1994-10-01,66.093
GDPDEF,1995-01-01,66.452
GDPDEF,1995-04-01,66.771
GDPDEF,1995-07-01,67.1
GDPDEF,1995-10-01,67.423
GDPDEF,1996-01-01,67.747
GDPDEF,1996-04-01,68.028
GDPDEF,1996-07-01,68.251
GDPDEF,1996-10-01,68.615
GDPDEF,1997-01-01,69.025
GDPDEF,1997-04-01,69.162
GDPDEF,1997-07-01,69.464
GDPDEF,1997-10-01,69.695
GDPDEF,1998-01-01,69.794
GDPDEF,1998-04-01,69.959
GDPDEF,1998-07-01,70.255
GDPDEF,1998-10-01,70.453
GDPDEF,1999-01-01,70.682
GDPDEF,1999-04-01,70.949
GDPDEF,1999-07-01,71.2
GDPDEF,1999-10-01,71.595
GDPDEF,2000-01-01,72.071
GDPDEF,2000-04-01,72.52
GDPDEF,2000-07-01,72.944
GDPDEF,2000-10-01,73.337
GDPDEF,2001-01-01,73.822
GDPDEF,2001-04-01,74.266
GDPDEF,2001-07-01,74.558
GDPDEF,2001-10-01,74.792
GDPDEF,2002-01-01,75.027
GDPDEF,2002-04-01,75.289
GDPDEF,2002-07-01,75.65
GDPDEF,2002-10-01,76.089
GDPDEF,2003-01-01,76.461
GDPDEF,2003-04-01,76.73
GDPDEF,2003-07-01,77.169
GDPDEF,2003-10-01,77.639
GDPDEF,2004-01-01,78.193
GDPDEF,2004-04-01,78.824
GDPDEF,2004-07-01,79.324
GDPDEF,2004-10-01,79.939
GDPDEF,2005-01-01,80.578
GDPDEF,2005-04-01,81.158
GDPDEF,2005-07-01,81.898
GDPDEF,2005-10-01,82.571
GDPDEF,2006-01-01,83.156
GDPDEF,2006-04-01,83.882
GDPDEF,2006-07-01,84.468
GDPDEF,2006-10-01,84.77
GDPDEF,2007-01-01,85.576
GDPDEF,2007-04-01,86.171
GDPDEF,2007-07-01,86.642
GDPDEF,2007-10-01,86.993
GDPDEF,2008-01-01,87.315
GDPDEF,2008-04-01,87.738
GDPDEF,2008-07-01,88.399
GDPDEF,2008-10-01,88.613
GDPDEF,2009-01-01,88.543
GDPDEF,2009-04-01,88.396
GDPDEF,2009-07-01,88.501
GDPDEF,2009-10-01,88.781
GDPDEF,2010-01-01,89.036
GDPDEF,2010-04-01,89.471
